moduleId,name,period,driverName,salesMatch,productMatch,scmsMatch,legalEntityMatch,beMatch,sl1Select,scmsSelect,beSelect,createdBy,createdDate,updatedBy,updatedDate
1,REVPOS-SL2-NOWWDISTI-NOSCMS-ROLL3,ROLL3,REVPOS,SL2,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIP-SL2-NOWWDIST-MTD,MTD,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIPREV-SHIP-PL2-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPREV,,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,,,moltman,
1,SERVMAP-PL3BE-MTD,MTD,SERVMAP,,PF,,Business Entity,,,,,amalakar,,,
1,VIP-PL3SL2-NOWWDIST-MTD,MTD,VIP,SL2,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-PL3SL6-NOWWDIST-MTD,MTD,SHIPMENT,SL6,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-SL2-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-SL2-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIP-PL3SL3-ROLL3,ROLL3,SHIPMENT,SL3,PF,,,,,,,amalakar,,,
1,SHIP-SL3-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL3,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-PL3SL2-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL2,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-PL3SL2-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPMENT,SL2,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIP-IBESL2-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL2,,,,Internal BE,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-PL3SL1-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL1,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-SL2-NOWWDIST-ROLL6,ROLL6,SHIPMENT,SL2,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-SL3-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPMENT,SL3,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-MTD,MTD,SHIPREV,,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIPREV-REV-PL3-NMS-NOWWDIST-NOSCMS-MTD,MTD,SHIPREV,,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIPREV-SHIP-PL3SL1-NOWWDIST-NOSCMS-MTD,MTD,SHIPREV,SL1,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIP-PL3SL3-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL3,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-SL2-ROLL3,ROLL3,SHIPMENT,SL2,,,,,,,,amalakar,,,
1,SHIP-PL2SL3-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL3,BU,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-BE-NOWWDIST-NOCORPADJ-ROLL3,ROLL3,SHIPMENT,,,,,Internal BE,"NOT IN ( 'Corp Adjustment','WW Distribution' )",,,amalakar,,,
1,SHIPREV-SHIP-PL3SL3-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPREV,SL3,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,VIP-SL2-NOWWDIST-MTD,MTD,VIP,SL2,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIPREV-SHIP-PL3SL3-NOWWDIST-NOSCMS-ROLL6,ROLL6,SHIPREV,SL3,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIPREV-SHIP-PL3-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPREV,,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIPREV-SHIP-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPREV,,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIPREV-SHIP-NOWWDIST-NOSCMS-MTD,MTD,SHIPREV,,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,REVPOS-NODISTI-NOSCMSOTHER-ROLL3,ROLL3,REVPOS,,,,,,NOT IN ( 'WW Distribution' ),"NOT IN (' NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIP-NOWWDIST-NOCORPADJ-ROLL3,ROLL3,SHIPMENT,,,,,,"NOT IN ( 'Corp Adjustment','WW Distribution' )",,,amalakar,,,
1,SHIP-NOCORPADJ-ROLL3,ROLL3,SHIPMENT,,,,,,NOT IN ( 'Corp Adjustment' ),,,amalakar,,,
1,test1,MTD,REVPOS,,,,,,"NOT IN ( 'ASIA PAC','Corp Adjustment','EMEA-REGION','US AND CANADA' )",,,amalakar,,,
1,test2,ROLL6,REVPOS,,,,,,"IN ( 'ASIA PAC','Corp Adjustment','EMEA-REGION' )","NOT IN ( 'ENTERPRISE','PUBLIC SECTOR','UNKNOWN' )","IN ( 'Collaboration','Data Center','SP Mobility' )",amalakar,,,
1,test123,MTD,MANUAL_MAP,,,,,,"NOT IN ( 'Corp Adjustment','WW Distribution' )",,,amalakar,,,
1,SHIPREV-SHIP-SL2-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPREV,SL2,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIP-PL3SL6-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL6,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-PL3-NOWWDIST-NOCORPADJ-MTD,MTD,SHIPMENT,,PF,,,,"NOT IN ( 'Corp Adjustment','WW Distribution' )",,,amalakar,,,
1,SHIPREV-SHIP-PL3SL6-SCMS-NOWWDIST-NOSCMS-MTD,MTD,SHIPREV,SL6,PF,SCMS,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIPREV-SL6-SCMS-ROLL3,ROLL3,SHIPREV,SL6,,SCMS,,,,,,amalakar,,,
1,SHIP-PL2SL2-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL2,BU,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,MANUALMAP-PL3SL6-PERCENT,MTD,MANUALMAP,SL6,PID,,,Internal BE,,IN ( 'COMMERCIAL' ),,amalakar,,,
1,SHIP-PL3-NOWWDIST-ROLL3,ROLL3,SHIPMENT,,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,test,MTD,MANUAL_MAP,SL1,BU,SCMS,Business Entity,Internal BE,IN ( 'ASIA PAC' ),,IN ( 'Collaboration' ),amalakar,,,
1,test2345,MTD,MANUAL_MAP,,,,Business Entity,,,,,amalakar,,,
1,SHIP-SL1-NOWWDIST-ROLL3,ROLL3,SHIPMENT,SL1,,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,SHIP-SL1-NOWWDIST-NOSCMS-ROLL3,ROLL3,SHIPMENT,SL1,,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,SHIP-PL3-NOWWDIST-NOSCMS-MTD,MTD,SHIPMENT,,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,GLREVMIX-PL3SL2-NOWWDIST-ROLL3,ROLL3,GLREVMIX,SL2,PF,,,,NOT IN ( ''WW Distribution'' ),,,amalakar,,,
1,REVPOS-PL3SL2-NOWWDIST-ROLL3,ROLL3,REVPOS,SL2,PF,,,,NOT IN ( 'WW Distribution' ),,,amalakar,,,
1,REVPOS-PL3-NOWWDIST-NOSCMS-ROLL3,ROLL3,REVPOS,,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,testing-update,ROLL6,MANUALMAP,SL3,PID,SCMS,Business Entity,,IN ( 'ASIA PAC' ),IN ( 'COMMERCIAL' ),IN ( 'Collaboration' ),,,moltman,
1,TEST_DUMMY,ROLL3,REVPOS,,PF,,,,NOT IN ( 'WW Distribution' ),"NOT IN ( 'NOT REQUIRED','OTHER','UNKNOWN' )",,amalakar,,,
1,testing-addnew,ROLL6,MANUALMAP,SL3,PID,SCMS,Business Entity,,IN ( 'ASIA PAC' ),IN ( 'COMMERCIAL' ),IN ( 'Collaboration' ),,,moltman,
1,test2_apr11,MTD,GLREVMIX,SL1,BU,,,,,,,,,moltman,
